编号,课程,第几天,作业日期,上传时间,批阅状态,批阅时间,成绩,随机分,操作
1,Python基础,1,2025-08-23,2025-08-24 00:04,,2025-08-24 21:47,A,0.0,
2,Python基础,2,2025-08-25,2025-08-25 14:40,,2025-08-25 23:03,A,0.2,
3,Python基础,4,2025-08-27,2025-08-27 14:38,,2025-08-27 21:58,A,0.0,
4,Python基础,3,2025-08-26,2025-08-26 21:55,,2025-08-27 21:58,A,0.0,
5,Python基础,5,2025-08-28,2025-08-28 20:50,,2025-08-28 22:05,A,0.1,
6,Python基础,6,2025-08-29,2025-08-31 00:04,,2025-08-31 22:02,A,0.1,
7,Python基础,7,2025-09-01,2025-09-02 00:21,,2025-09-02 21:12,A,0.2,
8,Python基础,9,2025-09-03,2025-09-04 00:30,,2025-09-04 21:33,A,0.2,
9,Python基础,8,2025-09-02,2025-09-03 05:08,,2025-09-03 21:49,A,0.2,
10,Python基础,10,2025-09-04,2025-09-05 00:16,,2025-09-05 22:00,A,0.0,
11,Python基础,11,2025-09-05,2025-09-06 00:07,,2025-09-06 21:47,A,0.1,
12,Python基础,12,2025-09-08,2025-09-08 19:36,,2025-09-08 21:16,A,0.2,
13,Python基础,13,2025-09-09,2025-09-09 19:32,,2025-09-09 22:33,A,0.0,
14,Python基础,14,2025-09-10,2025-09-10 17:17,,2025-09-10 21:09,A,0.2,
15,Python基础,15,2025-09-11,2025-09-11 14:16,,2025-09-11 21:36,A,0.0,
16,Python基础,16,2025-09-12,2025-09-12 12:20,,2025-09-12 21:45,A,0.1,
17,经典自动化协议,1,2025-09-15,2025-09-16 01:28,,2025-09-16 21:37,A,0.0,
18,经典自动化协议,2,2025-09-16,2025-09-17 01:20,,2025-09-17 21:16,A,0.0,
19,经典自动化协议,3,2025-09-17,2025-09-18 03:48,,2025-09-18 21:48,A,0.2,
20,经典自动化协议,4,2025-09-18,2025-09-19 16:30,,2025-09-19 21:54,A,0.2,
21,经典自动化协议,7,2025-09-23,2025-09-24 15:16,,2025-09-24 21:08,A,0.1,
22,经典自动化协议,5,2025-09-19,2025-09-21 20:11,,2025-09-21 21:45,A,0.2,
23,经典自动化协议,6,2025-09-22,2025-09-23 16:50,,2025-09-23 21:31,A,0.1,
24,经典自动化协议,8,2025-09-24,2025-09-25 15:22,,2025-09-25 22:55,A,0.0,
25,经典自动化协议,9,2025-09-25,2025-09-26 04:48,,2025-09-26 21:24,A,0.1,
26,经典自动化协议,10,2025-09-26,2025-09-28 03:30,,2025-09-28 21:25,A,0.0,
27,NetDevOps,1,2025-10-13,2025-10-14 00:55,,2025-10-14 21:42,A,0.2,
28,NetDevOps,2,2025-10-14,2025-10-15 03:33,,2025-10-15 21:36,A,0.0,
29,NetDevOps,4,2025-10-16,2025-10-17 16:18,,2025-10-17 22:08,A,0.2,
30,NetDevOps,3,2025-10-15,2025-10-16 02:02,,2025-10-16 21:04,A,0.0,
